"country","year","status","life_expectancy","adult_mortality","alcohol","percentage_expenditure","bmi","total_expenditure","gdp","population","income_composition_of_resources","schooling","code","meningitis","alzheimer_s_disease_and_other_dementias","parkinson_s_disease","nutritional_deficiencies","malaria","drowning","interpersonal_violence","maternal_disorders","hiv_aids","drug_use_disorders","tuberculosis","cardiovascular_diseases","lower_respiratory_infections","neonatal_disorders","alcohol_use_disorders","self_harm","exposure_to_forces_of_nature","diarrheal_diseases","environmental_heat_and_cold_exposure","neoplasms","conflict_and_terrorism","diabetes_mellitus","chronic_kidney_disease","poisonings","protein_energy_malnutrition","road_injuries","chronic_respiratory_diseases","cirrhosis_and_other_chronic_liver_diseases","digestive_diseases","fire_heat_and_hot_substances","acute_hepatitis","measles_abs","infant_deaths_abs","under_five_deaths_abs","hepatitis_b_abs","polio_abs","diphtheria_abs","thinness_1_19_abs","thinness_5_9_abs"
"djibouti",2005,"Developing",58.6,318,1.23,12.70325933,3.2,7.21,94.7297489,783254,0.396,4,"DJI",146,25,7,379,29,28,83,128,940,1,462,661,701,747,6,46,0,408,7,385,0,100,72,17,372,118,93,133,220,22,15,233409.692,1566.508,1566.508,633969.400092243,556110.34,556110.34,46211.986,45428.732
"djibouti",2006,"Developing",59.1,39,1.02,121.4812077,3.6,7.5,965.6693779,79628,0.405,4.3,"DJI",149,27,7,355,98,29,83,125,982,1,454,686,709,755,6,47,0,407,7,400,0,105,75,17,348,119,95,137,225,22,15,3901.772,159.256,159.256,64451.2704570231,57332.16,57332.16,4618.424,4538.796
"djibouti",2007,"Developing",59.8,296,0.45,20.86878709,3.9,7.72,147.586896,8942,0.416,4.5,"DJI",141,28,8,368,16,29,89,134,1010,1,469,724,711,766,7,50,0,400,8,423,0,112,80,18,360,125,99,143,236,23,15,214.608,8.942,17.884,2235.5,7868.96,7868.96,518.636,509.694
"djibouti",2008,"Developing",62,289,0.49,171.7686449,31.3,8.5,1214.77118,822934,0.427,5,"DJI",140,30,8,357,9,29,92,137,1038,2,467,759,702,775,7,52,0,384,8,443,9,118,83,18,350,129,103,149,245,23,14,117679.562,822.934,1645.868,724181.92,732411.26,732411.26,46907.238,46084.304
"djibouti",2009,"Developing",69,279,0.49,177.2671607,31.7,8.37,1253.657431,83684,0.436,5.3,"DJI",139,32,8,344,82,29,93,134,1068,2,457,788,691,783,7,52,0,372,8,460,4,124,87,18,337,130,105,152,250,24,14,4016.832,83.684,167.368,74478.76,74478.76,74478.76,4769.988,4686.304
"djibouti",2010,"Developing",61.3,273,0.44,187.4960097,32.2,8.84,1325.99724,851146,0.441,5.5,"DJI",142,34,9,323,27,29,98,141,1099,2,462,831,691,788,8,55,0,388,8,487,3,132,92,19,316,136,109,160,262,24,14,5958.022,851.146,1702.292,749008.48,749008.48,749008.48,47664.176,47664.176
"djibouti",2011,"Developing",61.8,268,0.39,20.35974738,32.7,8.71,143.986898,865937,0.451,5.9,"DJI",141,36,10,320,1,29,100,144,1098,2,464,871,677,784,8,58,0,367,8,511,0,139,96,19,313,139,113,167,273,24,14,42430.913,865.937,1731.874,753365.19,753365.19,753365.19,48492.472,47626.535
"djibouti",2012,"Developing",62.2,263,0.52,217.2125786,33.2,8.95,1536.15685,881185,0.46,6.3,"DJI",118,38,10,311,0,29,102,144,1079,2,466,912,667,778,9,60,0,364,8,537,1,146,101,19,304,143,117,174,283,25,14,624760.165,881.185,1762.37,713759.85,713759.85,713759.85,49346.36,48465.175
"djibouti",2013,"Developing",62.7,256,0.53,229.4410095,33.8,9.14,1622.637974,896688,0.464,6.3,"DJI",119,40,11,286,25,29,104,143,1077,2,465,952,660,766,9,61,0,362,8,563,0,154,105,19,279,145,120,180,292,26,14,25107.264,896.688,1793.376,735284.16,735284.16,735284.16,50214.528,48421.152
"djibouti",2014,"Developing",63,252,0.38,24.73299655,34.4,1.57,174.91511,912164,0.467,6.3,"DJI",114,43,11,263,173,27,100,131,1062,2,448,976,631,747,9,61,0,340,8,575,6,159,107,19,256,141,121,182,293,25,14,0,912.164,912.164,711487.92,711487.92,711487.92,51081.184,49256.856
"djibouti",2015,"Developing",63.5,241,4.60286078717201,0,35,5.9381895280236,1862.167274,927414,0.47,6.3,"DJI",115,45,12,267,144,27,103,133,1022,2,448,1025,620,727,10,64,0,336,8,604,27,167,112,19,261,145,125,189,304,25,14,43588.458,927.414,927.414,779027.76,779027.76,779027.76,51935.184,50080.356
"dominican republic",2000,"Developing",72,176,6.58,44.79247812,43.1,5.9,282.4242,8562622,0.651,12.2,"DOM",358,984,191,500,19,248,1078,166,3524,13,699,12124,1710,4736,87,450,3,1553,9,5352,0,1318,970,37,487,1989,1075,1766,2462,131,26,2166343.366,59938.354,77063.598,5822582.96,6079461.62,6678845.16,325379.636,316817.014
"dominican republic",2001,"Developing",71.2,188,6.13,340.0239945,44.1,5.59,2862.154836,8697126,0.656,12.3,"DOM",327,1033,201,474,14,247,1108,174,3611,13,670,12571,1723,4656,87,467,5,1362,9,5626,0,1375,1038,35,461,1997,1109,1770,2466,130,24,982775.238,60879.882,78274.134,5740103.16,6174959.46,6261930.72,330490.788,313096.536
"dominican republic",2002,"Developing",71.4,189,6.43,4.67359227,45.1,5.79,38.46578,8832285,0.66,12.3,"DOM",302,1077,210,441,16,245,1153,183,3657,14,662,13079,1710,4355,89,495,4,1195,9,5926,0,1448,1118,34,428,2050,1139,1781,2473,156,23,0,61825.995,70658.28,5564339.55,6535890.9,7242473.7,326794.545,317962.26
"dominican republic",2003,"Developing",73,22,6.32,293.0196601,46.1,5.53,2372.628827,896776,0.665,12.4,"DOM",299,1148,231,441,16,252,1242,196,3686,15,709,14321,1821,4190,92,531,21,1091,9,6324,0,1588,1246,34,427,2154,1226,1810,2523,131,22,0,6277.432,7174.208,708453.04,582904.4,708453.04,32283.936,31387.16
"dominican republic",2004,"Developing",69.3,214,5.16,182.6162515,47.2,4.28,2421.9662,912998,0.666,12.5,"DOM",327,1219,257,454,21,263,1346,209,3644,16,740,15930,1985,4178,96,570,704,1005,10,6773,0,1762,1397,35,439,2288,1335,1857,2601,136,22,0,6390.986,7303.984,748658.36,602578.68,721268.42,32867.928,31954.93
"dominican republic",2005,"Developing",69.7,28,5.71,289.7418649,48.2,4.26,3681.5993,9237566,0.668,12.6,"DOM",322,1259,277,438,32,265,1442,217,3430,18,715,17011,2039,4121,98,593,13,908,10,7166,0,1887,1518,35,423,2367,1409,1888,2650,274,21,0,64662.962,73900.528,8036682.42,7944306.76,8036682.42,323314.81,314077.244
"dominican republic",2006,"Developing",72.3,178,6.2,352.9551269,49.3,4.34,3836.468771,9371338,0.677,12.6,"DOM",315,1303,289,412,29,266,1559,220,3100,19,692,17684,2033,4107,99,610,1,794,9,7421,1,1965,1597,34,395,2434,1446,1859,2612,137,21,0,65599.366,74970.704,7871923.92,8246777.44,8340490.82,327996.83,318625.492
"dominican republic",2007,"Developing",72.9,164,6.05,74.8217488,5.4,4.34,4647.31359,954353,0.685,12.7,"DOM",291,1360,298,387,27,262,1708,202,2732,20,679,18249,2027,4080,98,610,176,699,9,7524,0,2006,1648,34,370,2435,1452,1793,2522,133,21,0,5726.118,7634.824,773025.93,820743.58,811200.05,32448.002,32448.002
"dominican republic",2008,"Developing",73.3,161,6.12,49.09241952,51.5,4.2,511.37937,963652,0.692,12.8,"DOM",278,1403,310,361,22,253,1782,208,2406,21,673,18895,1998,3826,97,604,14,633,9,7654,0,2032,1696,32,342,2423,1475,1762,2489,129,21,0,5781.912,7709.216,780558.12,828740.72,790194.64,32764.168,31800.516
"dominican republic",2009,"Developing",73.6,157,6.05,587.8828228,52.6,4.41,4952.67753,9767758,0.695,12.9,"DOM",259,1436,325,354,22,253,1864,207,2247,22,664,19697,2029,3793,97,600,10,599,9,7857,0,2065,1755,32,334,2420,1513,1777,2516,129,21,0,58606.548,78142.064,781420.64,8302594.3,8009561.56,332103.772,322336.014
"dominican republic",2010,"Developing",72.7,166,6.02,664.5585242,53.6,4.6,5451.6696,9897985,0.697,12.9,"DOM",269,1455,338,354,43,253,1909,205,2169,23,647,20355,2055,3826,99,595,9,586,9,8041,0,2092,1807,33,332,2418,1543,1808,2560,129,22,0,59387.91,79183.88,8215327.55,8413287.25,8710226.8,326633.505,326633.505
"dominican republic",2011,"Developing",73.1,16,5.91,843.7876995,54.7,4.22,5759.643,12795,0.703,13,"DOM",268,1469,348,361,22,260,1978,215,2083,24,625,20901,2076,3985,103,601,12,696,9,8295,0,2131,1866,34,339,2448,1571,1883,2659,131,24,25.59,76.77,89.565,1023.6,10747.8,10747.8,422.235,409.44
"dominican republic",2012,"Developing",72.1,174,5.93,857.1307037,55.8,4.26,5968.876767,115495,0.706,13.1,"DOM",294,1476,369,383,13,280,2083,236,1998,28,652,22242,2148,4107,112,637,9,746,9,8792,0,2280,1994,37,357,2601,1655,2023,2847,138,27,0,692.97,808.465,85466.3,98170.75,98170.75,3811.335,3695.84
"dominican republic",2013,"Developing",73.4,157,5.93,97.52211538,56.8,4.12,627.55544,1281296,0.709,13.2,"DOM",290,1490,393,411,6,299,2164,248,1939,32,715,23891,2227,4196,123,682,1,628,10,9367,1,2476,2140,41,381,2801,1757,2194,3070,145,31,0,7687.776,8969.072,102503.68,1050662.72,1063475.68,42282.768,41001.472
"dominican republic",2014,"Developing",73.6,154,5.92,1088.244952,57.9,4.38,6268.692122,145844,0.712,13.2,"DOM",277,1502,411,418,6,309,2221,263,1846,36,780,25223,2211,3901,131,704,1,599,10,9787,0,2634,2243,42,386,2882,1834,2353,3267,146,34,0,875.064,1020.908,129801.16,13125.96,132718.04,4812.852,4667.008
"dominican republic",2015,"Developing",73.9,152,4.60286078717201,0,58.9,5.9381895280236,6468.471648,1528394,0.718,13.2,"DOM",270,1513,430,436,7,323,2241,274,1705,41,823,26439,2220,3796,139,720,2,610,11,10231,0,2782,2330,45,401,2930,1909,2528,3482,149,37,0,9170.364,10698.758,1237999.14,1329702.78,1299134.9,50437.002,48908.608
"ecuador",2000,"Developing",72.8,163,3.99,84.17527008,43.6,3.38,1451.29776,12628596,0.668,12.4,"ECU",263,1365,290,1217,1184,590,2365,253,351,33,1348,11488,4472,4858,440,839,81,1153,8,8674,0,2314,2922,73,1133,2874,1687,1988,3845,174,14,0,113657.364,138914.556,4546294.56,10481734.68,10986878.52,202057.536,189428.94
"ecuador",2001,"Developing",73.4,158,4.13,14.5887403,44.3,3.86,193.741571,12852755,0.67,12.4,"ECU",232,1404,303,1157,861,589,2505,211,474,32,1226,11382,4431,4688,444,869,108,1067,9,8802,0,2291,3095,70,1072,2954,1712,2045,3899,173,14,25705.51,115674.795,128527.55,8868400.95,1156747.95,11438951.95,205644.08,192791.325
"ecuador",2002,"Developing",73.6,157,3.88,187.3843511,45.1,4.62,2183.966796,13726,0.675,12.5,"ECU",238,1481,351,1175,410,644,2728,250,564,37,1258,12815,4755,4542,468,1001,95,1045,9,9989,0,2664,3696,74,1078,3300,1911,2294,4318,184,15,0,109.808,137.26,10294.5,12078.88,12078.88,205.89,192.164
"ecuador",2003,"Developing",74.4,151,3.69,18.26183281,45.8,6.46,244.46898,1328961,0.679,12.6,"ECU",232,1546,386,1127,207,667,2904,263,636,39,1244,13616,4898,4359,476,1087,22,1014,10,10762,0,2884,4117,74,1024,3507,2048,2476,4607,188,15,0,10631.688,13289.61,1089748.02,1289092.17,1156196.07,19934.415,18605.454
"ecuador",2004,"Developing",74.4,148,3.65,16.37920405,46.5,6.22,278.557892,1359647,0.682,12.7,"ECU",222,1609,418,1069,99,661,3065,257,727,39,1210,14160,4998,4176,482,1168,27,974,10,11309,0,3023,4360,72,960,3681,2176,2635,4841,190,15,0,10877.176,12236.823,1196489.36,122368.23,1196489.36,20394.705,17675.411
"ecuador",2005,"Developing",74.2,151,3.54,18.09317114,47.2,5.87,321.942547,13735233,0.688,12.8,"ECU",212,1651,454,1021,32,673,3228,267,862,43,1223,15031,5121,3936,489,1277,25,911,11,12035,0,3236,4700,73,902,4006,2329,2813,5112,193,15,0,109881.864,123617.097,12636414.36,12224357.37,12636414.36,192293.262,178558.029
"ecuador",2006,"Developing",74.4,144,3.52,19.13983284,47.9,5.86,335.786541,1396748,0.693,12.8,"ECU",204,1691,485,966,21,681,3287,276,988,43,1161,15516,5205,3791,474,1331,49,836,11,12616,0,3383,4946,73,840,4189,2432,2940,5296,191,15,0,11173.984,12570.732,1340878.08,1285008.16,1340878.08,19554.472,18157.724
"ecuador",2007,"Developing",74.7,14,3.63,19.60467787,48.6,5.94,359.71886,1425453,0.696,12.9,"ECU",198,1735,506,908,14,685,3304,281,945,43,1076,15814,5253,3676,462,1401,18,747,11,13076,0,3494,5152,74,782,4425,2496,3032,5432,191,15,0,9978.171,12829.077,1339925.82,1354180.35,1368434.88,19956.342,18530.889
"ecuador",2008,"Developing",74.6,139,3.76,197.9303077,49.3,5.66,4274.95265,14447562,0.698,13,"ECU",190,1797,527,856,4,726,3324,286,979,47,1021,16177,5280,3512,449,1472,66,691,12,13517,25,3623,5369,75,729,4682,2585,3115,5579,208,14,14447.562,101132.934,130028.058,13436232.66,13580708.28,13869659.52,187818.306,173370.744
"ecuador",2009,"Developing",75.1,137,3.87,282.1440066,5,5.58,4255.56571,14691275,0.702,13.1,"ECU",181,1861,539,796,6,689,3278,298,1023,48,982,16361,5232,3304,430,1514,33,648,13,13795,0,3741,5518,75,673,4820,2659,3162,5677,193,14,0,102838.925,117530.2,13369060.25,13369060.25,13809798.5,190986.575,176295.3
"ecuador",2010,"Developing",75,134,3.95,367.9285652,5.7,5.9,4657.32361,1493469,0.703,13.1,"ECU",156,1928,563,767,3,705,3126,310,1051,49,938,16791,5224,3192,413,1551,45,609,13,14163,0,3904,5690,75,644,4934,2780,3223,5796,192,14,0,10454.283,11947.752,134412.21,1314252.72,1359056.79,19415.097,17921.628
"ecuador",2011,"Developing",75.3,131,3.99,344.7412164,51.4,5.92,5223.351763,15177355,0.71,13.2,"ECU",133,2009,582,720,3,664,2857,297,982,50,835,16936,5058,2907,393,1548,34,556,13,14346,0,3994,5768,74,601,4921,2867,3252,5836,188,13,3900580.235,106241.485,121418.84,13356072.4,12900751.75,13356072.4,197305.615,182128.26
"ecuador",2012,"Developing",75.5,127,3.92,41.88087712,52.1,6.48,572.14313,15419666,0.717,13.3,"ECU",126,2113,623,717,1,655,2569,312,1051,51,772,17911,5176,2754,368,1562,52,521,13,15063,0,4298,6123,73,597,4927,3056,3359,6013,192,13,1110215.952,107937.662,123357.328,13569306.08,13106716.1,13415109.42,200455.658,185035.992
"ecuador",2013,"Developing",76,121,3.77,59.12850204,52.8,7.29,674.9829,15661547,0.725,13.4,"ECU",123,2216,665,725,2,604,2300,301,1144,52,729,18703,5301,2656,348,1540,37,500,13,15472,1,4466,6322,72,605,4743,3262,3426,6149,186,13,0,93969.282,125292.376,13625545.89,13625545.89,13625545.89,203600.111,172277.017
"ecuador",2014,"Developing",76,121,3.82,79.11626341,53.5,9.16,6432.216537,1593112,0.737,14,"ECU",120,2286,678,721,0,575,2104,291,1229,51,724,19146,5284,2512,330,1529,20,487,13,15648,0,4505,6382,71,603,4629,3391,3468,6226,183,12,0,9558.672,11151.784,1322282.96,1338214.08,1322282.96,19117.344,17524.232
"ecuador",2015,"Developing",76.2,118,4.60286078717201,0,54.2,5.9381895280236,625.62224,16144368,0.739,14,"ECU",119,2322,667,700,1,575,1947,262,1187,54,718,19221,5176,2449,318,1539,45,476,14,15717,0,4491,6349,69,585,4551,3399,3508,6275,180,12,0,96866.208,113010.576,12592607.04,13561269.12,12592607.04,193732.416,177588.048
"egypt",2000,"Developing",68.8,171,0.14,0,5.7,5.55,7483.15846913847,12753375.1200525,0.606,11,"EGY",1317,4224,1316,989,0,1059,264,1172,109,34,1080,166895,30952,20615,96,1980,2,15478,53,30582,2,9087,12124,173,873,23697,15600,40904,45486,1293,1970,33579636.6910983,828969.382803415,1045776.75984431,12498307.6176515,12498307.6176515,12498307.6176515,459121.504321892,446368.129201839
"egypt",2001,"Developing",68.6,177,0.14,0,51.2,5.75,7483.15846913847,12753375.1200525,0.612,11.1,"EGY",1296,4400,1418,999,0,1066,284,1148,110,36,1093,177263,30386,20184,101,2088,1,14986,50,32833,4,9873,12881,176,873,24541,16442,42823,47573,1329,2010,27419756.508113,803462.63256331,994763.259364098,12625841.368852,12625841.368852,12625841.368852,446368.129201839,433614.754081786
"egypt",2002,"Developing",68.7,177,0.15,0,51.8,5.97,7483.15846913847,12753375.1200525,0.617,11.2,"EGY",1259,4603,1522,986,0,1055,309,1100,111,38,1122,186203,29643,19595,104,2150,25,14528,51,34528,23,10491,13524,176,851,24899,17199,44520,49415,1343,1993,8327953.95339431,777955.882323205,956503.134003941,12370773.866451,12370773.866451,12370773.866451,433614.754081786,433614.754081786
"egypt",2003,"Developing",68.6,178,0.15,0,52.3,5.41,7483.15846913847,12753375.1200525,0.621,11.3,"EGY",1239,4779,1645,1007,0,1039,337,1061,113,39,1141,196452,29507,19354,107,2201,2,14279,51,36300,0,11154,14259,175,862,25225,18031,46515,51576,1353,1970,2091553.51968862,752449.1320831,918243.008643783,12498307.6176515,12498307.6176515,12498307.6176515,420861.378961734,420861.378961734
"egypt",2004,"Developing",69,176,0.16,0,52.9,5.21,7483.15846913847,12753375.1200525,0.623,11.2,"EGY",1203,4858,1669,968,0,1012,364,1009,114,41,1086,197750,28637,19026,109,2216,16,13774,50,37419,62,11505,14493,172,823,25066,18030,46893,51941,1343,1893,1020270.0096042,726942.381842995,892736.258403678,12370773.866451,12370773.866451,12370773.866451,420861.378961734,408108.003841681
"egypt",2005,"Developing",69.4,174,0.16,0,53.5,5.6,7483.15846913847,12753375.1200525,0.629,11.4,"EGY",1176,4902,1652,933,0,997,392,993,116,42,1053,197027,27809,18825,110,2240,6,13413,49,38242,130,11743,14537,172,788,24965,17851,46652,51646,1371,1826,982009.884244046,714189.006722942,867229.508163573,12498307.6176515,12498307.6176515,12498307.6176515,408108.003841681,408108.003841681
"egypt",2006,"Developing",69.5,175,0.18,0,54.2,5.24,7483.15846913847,12753375.1200525,0.636,11.5,"EGY",1163,4968,1657,905,0,1004,428,985,118,44,1062,199763,27314,18351,113,2306,2,13055,49,39646,24,12217,14794,173,760,25392,18026,46610,51771,1354,1809,12153966.4894101,701435.63160289,841722.757923468,12498307.6176515,12498307.6176515,12498307.6176515,408108.003841681,395354.628721629
"egypt",2007,"Developing",69.7,171,0.21,0,54.8,4.95,7483.15846913847,12753375.1200525,0.644,11.7,"EGY",1153,5074,1670,887,0,1011,465,949,104,44,1079,201143,27084,17566,114,2312,4,13218,49,40485,0,12436,14943,173,741,25408,18126,46823,52118,1355,1732,21476683.7021685,701435.63160289,828969.382803415,12498307.6176515,12498307.6176515,12498307.6176515,395354.628721629,395354.628721629
"egypt",2008,"Developing",69.8,172,0.24,0,55.5,4.82,7483.15846913847,12753375.1200525,0.651,11.9,"EGY",1138,5212,1732,886,0,1025,503,957,93,47,1087,207451,26708,16142,117,2381,98,13224,49,42135,16,13100,15535,175,736,25929,18612,48127,53614,1378,1689,8519254.5801951,688682.256482837,828969.382803415,12370773.866451,12370773.866451,12370773.866451,395354.628721629,382601.253601576
"egypt",2009,"Developing",69.9,174,0.21,0,56.2,5.1,7483.15846913847,12753375.1200525,0.659,12,"EGY",1137,5340,1796,889,0,1051,535,996,93,50,1054,214374,26664,15121,121,2484,2,13111,49,44866,10,13951,16199,180,734,26837,19088,49630,55290,1415,1657,7754052.07299195,688682.256482837,816216.007683363,12370773.866451,12370773.866451,12370773.866451,382601.253601576,382601.253601576
"egypt",2010,"Developing",70,173,0.22,0,57,4.8,7483.15846913847,12753375.1200525,0.665,12.2,"EGY",1111,5464,1847,874,0,1070,535,1017,95,53,1039,219382,25864,13363,125,2593,62,12788,48,46171,39,14715,16806,183,718,27409,19409,50816,56588,1447,1605,204054.001920841,688682.256482837,816216.007683363,12370773.866451,12370773.866451,12370773.866451,382601.253601576,369847.878481524
"egypt",2011,"Developing",74,168,0.22,0,57.8,5.4,7483.15846913847,12753375.1200525,0.671,12.4,"EGY",1115,5607,1898,871,0,1093,562,955,101,58,1029,221812,25786,11489,129,2672,2,12763,48,47360,116,15183,17195,186,713,28205,19685,51945,57828,1462,1568,331587.753121366,701435.63160289,816216.007683363,12243240.1152504,12243240.1152504,12243240.1152504,369847.878481524,369847.878481524
"egypt",2012,"Developing",72,165,0.23,0,58.6,5.29,7483.15846913847,12753375.1200525,0.673,12.4,"EGY",1102,5746,1989,880,0,1104,618,964,105,61,1079,231012,25436,9252,132,2797,5,12623,48,48813,117,16060,18053,189,717,28813,20395,53786,59861,1497,1542,3124576.90441287,688682.256482837,816216.007683363,11860638.8616489,11860638.8616489,11860638.8616489,369847.878481524,357094.503361471
"egypt",2013,"Developing",79,159,0.21,0,59.4,5.46,7483.15846913847,12753375.1200525,0.681,12.8,"EGY",1082,5816,1964,844,0,1095,684,891,103,61,1149,229434,24760,7892,133,2796,7,12605,49,48629,168,15993,18037,187,684,28515,20325,53648,59739,1481,1481,5165116.92362128,688682.256482837,803462.63256331,12370773.866451,12370773.866451,12370773.866451,369847.878481524,357094.503361471
"egypt",2014,"Developing",78,161,0.21,0,6.2,5.64,7483.15846913847,12753375.1200525,0.686,13.1,"EGY",925,5999,2053,842,0,1051,593,863,98,63,1145,236288,23910,6873,135,2840,5,11977,49,50183,293,16886,18893,183,677,28405,20849,55221,61427,1474,1443,16757934.907749,675928.881362785,790709.257443258,11988172.6128494,11988172.6128494,11988172.6128494,357094.503361471,357094.503361471
"egypt",2015,"Developing",79,159,4.60286078717201,0,61.1,5.9381895280236,7483.15846913847,12753375.1200525,0.688,13.1,"EGY",925,6190,2214,875,0,1045,537,870,84,68,1081,251445,24920,7175,139,2921,41,11666,157,52885,1125,18390,20276,185,699,29193,21784,57801,64205,1497,1454,69276333.6521254,650422.13112268,765202.507203153,11860638.8616489,11860638.8616489,11860638.8616489,357094.503361471,357094.503361471
"el salvador",2000,"Developing",69,218,2.79,353.6690328,45.3,8.17,2238.4116,5867626,0.607,11.3,"SLV",93,939,170,333,1,301,2887,78,535,7,156,6613,2188,1501,915,515,8,900,5,3951,0,1074,1855,17,332,1598,1016,1125,1988,54,6,0,23470.504,29338.13,5808949.74,5750273.48,5808949.74,123220.146,117352.52
"el salvador",2001,"Developing",68.9,219,2.88,332.1056586,46.2,8.2,2338.772244,595962,0.615,11.6,"SLV",88,979,175,324,1,283,2792,54,614,7,138,6611,2130,1343,854,496,1168,768,5,4039,0,1116,1996,15,323,1538,1024,1093,1917,51,6,1191.924,2383.848,2383.848,446971.5,560204.28,548285.04,12515.202,11919.24
"el salvador",2002,"Developing",73,24,2.97,29.68529375,47,7.9,248.4125,59433,0.621,11.8,"SLV",73,1012,176,310,1,265,2729,57,680,6,122,6459,2031,1213,802,462,6,668,5,4025,0,1125,2082,14,309,1451,1005,1057,1841,48,6,0,178.299,237.732,48140.73,48140.73,48140.73,1188.66,1129.227
"el salvador",2003,"Developing",69.9,29,3.1,400.1342971,47.8,7.61,2519.737387,5971535,0.628,12,"SLV",73,1055,189,314,1,267,2849,59,731,6,118,6756,2060,1114,836,474,3,594,5,4201,0,1219,2323,13,313,1487,1055,1091,1878,47,6,0,17914.605,23886.14,5613242.9,5553527.55,5613242.9,119430.7,113459.165
"el salvador",2004,"Developing",70,215,2.9,398.6058322,48.6,7.3,2632.79942,6775,0.636,12.4,"SLV",74,1094,202,323,1,272,3015,64,759,6,116,7091,2110,1037,884,491,2,537,5,4408,0,1342,2586,12,321,1524,1106,1128,1924,47,7,0,20.325,20.325,609.75,609.75,609.75,128.725,121.95
"el salvador",2005,"Developing",71,213,2.77,440.6027042,49.4,7.19,2835.281237,628961,0.644,12.7,"SLV",73,1127,209,323,1,271,3145,68,740,6,110,7233,2109,961,905,496,172,483,5,4522,0,1431,2752,12,322,1503,1129,1148,1936,47,7,0,1886.883,1886.883,559775.29,559775.29,559775.29,11950.259,11321.298
"el salvador",2006,"Developing",75,211,2.77,57.74562629,5.1,6.68,362.951768,656478,0.651,12.9,"SLV",72,1160,216,323,1,266,3261,70,769,6,104,7355,2105,898,923,499,5,432,6,4610,0,1507,2907,11,322,1482,1146,1168,1948,46,7,0,1969.434,1969.434,630218.88,630218.88,630218.88,11816.604,11160.126
"el salvador",2007,"Developing",71.2,23,2.83,52.30172215,5.8,6.32,334.83817,683475,0.657,12.9,"SLV",69,1198,220,316,1,251,3264,67,822,6,99,7381,2064,839,886,488,14,395,4,4633,0,1554,2996,10,315,1385,1154,1160,1927,44,6,0,1366.95,2050.425,676640.25,676640.25,676640.25,12302.55,11619.075
"el salvador",2008,"Developing",71.7,194,2.68,53.95949877,51.4,6.21,357.347674,61131,0.659,13.4,"SLV",67,1237,220,305,1,238,3223,64,823,7,94,7325,2017,816,834,472,36,369,4,4581,0,1563,3055,9,304,1279,1152,1142,1892,42,6,0,122.262,183.393,59908.38,59908.38,59908.38,1100.358,1039.227
"el salvador",2009,"Developing",71.4,23,2.55,416.4338399,52.1,6.83,3366.482133,6137276,0.662,12.8,"SLV",71,1294,234,315,1,247,3299,73,800,7,97,7803,2114,824,843,508,394,359,4,4823,0,1710,3343,10,314,1299,1230,1205,1986,43,7,0,12274.552,12274.552,5584921.16,5584921.16,5584921.16,104333.692,98196.416
"el salvador",2010,"Developing",72,191,2.36,469.3904193,52.8,6.91,3474.392445,6164626,0.662,12.9,"SLV",58,1334,228,295,1,230,3192,69,766,8,90,7525,1987,797,754,481,22,338,3,4670,0,1671,3269,9,294,1169,1210,1170,1925,67,6,0,12329.252,12329.252,5486517.14,5486517.14,5486517.14,104798.642,98634.016
"el salvador",2011,"Developing",72,197,2.37,549.2783081,53.4,6.81,3736.58713,619256,0.666,13,"SLV",57,1385,237,292,1,231,3186,71,722,8,92,7846,2029,802,760,506,49,329,3,4839,0,1783,3486,10,291,1172,1259,1230,2009,40,6,0,1238.512,1238.512,551137.84,55733.04,551137.84,10527.352,9908.096
"el salvador",2012,"Developing",73,181,2.48,591.7757569,54.1,6.7,3827.786267,6221246,0.67,13.2,"SLV",52,1427,231,271,1,199,6186,57,712,8,85,7551,1943,813,694,450,1,317,3,4683,0,1752,3373,9,269,1032,1235,1197,1955,37,6,0,12442.492,12442.492,5723546.32,5785758.78,5723546.32,99539.936,99539.936
"el salvador",2013,"Developing",73,184,2.42,653.6925016,54.7,6.95,3895.664491,625777,0.675,13.2,"SLV",53,1498,248,277,1,203,5977,54,743,8,88,8124,2069,802,715,465,5,315,3,4931,0,1913,3592,10,276,1059,1326,1261,2056,38,6,0,1251.554,1251.554,575714.84,575714.84,575714.84,10012.432,10012.432
"el salvador",2014,"Developing",73.3,181,2.52,665.7260253,55.4,6.77,3988.771871,6281189,0.676,13.2,"SLV",56,1552,272,291,1,228,6176,53,775,10,98,8896,2238,731,810,530,9,318,3,5297,0,2103,3960,11,290,1208,1436,1380,2235,41,6,0,12562.378,12562.378,5841505.77,5841505.77,5904317.66,100499.024,100499.024
"el salvador",2015,"Developing",73.5,178,4.60286078717201,0,56.1,5.9381895280236,4127.11775,6312478,0.678,13.2,"SLV",55,1578,279,292,1,233,6555,51,779,10,99,9073,2257,671,832,546,13,314,3,5408,0,2139,3990,11,291,1248,1452,1408,2280,42,6,0,12624.956,12624.956,5744354.98,5807479.76,5744354.98,100999.648,94687.17
"equatorial guinea",2000,"Developing",52.7,336,4.46,14.95451321,18.3,2.73,172.68491,614323,0,0,"GNQ",106,26,6,123,1150,33,28,86,561,1,443,662,602,710,4,43,0,665,3,270,0,95,65,13,119,226,137,92,182,16,9,0,1842.969,2457.292,497235.869555556,251872.43,208869.82,10443.491,9829.168
